Judge_ID,Judge_Name,NumberOfCar,Start_Time,End_Time,Duration,Average_speed
J01,Wayne,31,"8/5/2018 13:47","8/5/2018 17:50",,
J02,Carl,10,"8/5/2018 13:16","8/5/2018 17:14",,
J03,Carol,19,"8/5/2018 13:26","8/5/2018 17:35",,
J04,Bob,36,"8/5/2018 13:11","8/5/2018 17:51",,
J05,Adrian,10,"8/5/2018 13:28","8/5/2018 17:31",,
J06,Aaron,32,"8/5/2018 13:20","8/5/2018 17:43",,
J08,Danny,5,"8/5/2018 15:26","8/5/2018 17:52",,
J09,Dan,24,"8/5/2018 14:08","8/5/2018 17:48",,
Judge_ID," Judge_Name",1,Timestamp,Timestamp,,
Judge_ID,Judge_Name,NumberOfCar,Start_Time,End_Time,Duration,Average_speed
J01,Wayne,31,"8/5/2018 13:47","8/5/2018 17:50",,
J02,Carl,10,"8/5/2018 13:16","8/5/2018 17:14",,
J03,Carol,19,"8/5/2018 13:26","8/5/2018 17:35",,
J04,Bob,36,"8/5/2018 13:11","8/5/2018 17:51",,
J05,Adrian,10,"8/5/2018 13:28","8/5/2018 17:31",,
J06,Aaron,32,"8/5/2018 13:20","8/5/2018 17:43",,
J08,Danny,5,"8/5/2018 15:26","8/5/2018 17:52",,
J09,Dan,24,"8/5/2018 14:08","8/5/2018 17:48",,
Judge_ID," Judge_Name",1,Timestamp,Timestamp,,
Judge_ID,Judge_Name,NumberOfCar,Start_Time,End_Time,Duration,Average_speed
J01,Wayne,31,"8/5/2018 13:47","8/5/2018 17:50",,
J02,Carl,10,"8/5/2018 13:16","8/5/2018 17:14",,
J03,Carol,19,"8/5/2018 13:26","8/5/2018 17:35",,
J04,Bob,36,"8/5/2018 13:11","8/5/2018 17:51",,
J05,Adrian,10,"8/5/2018 13:28","8/5/2018 17:31",,
J06,Aaron,32,"8/5/2018 13:20","8/5/2018 17:43",,
J08,Danny,5,"8/5/2018 15:26","8/5/2018 17:52",,
J09,Dan,24,"8/5/2018 14:08","8/5/2018 17:48",,
Judge_ID," Judge_Name",1,Timestamp,Timestamp,,
Judge_ID,Judge_Name,NumberOfCar,Start_Time,End_Time,Duration,Average_speed
J01,Wayne,31,"8/5/2018 13:47","8/5/2018 17:50",,
J02,Carl,10,"8/5/2018 13:16","8/5/2018 17:14",,
J03,Carol,19,"8/5/2018 13:26","8/5/2018 17:35",,
J04,Bob,36,"8/5/2018 13:11","8/5/2018 17:51",,
J05,Adrian,10,"8/5/2018 13:28","8/5/2018 17:31",,
J06,Aaron,32,"8/5/2018 13:20","8/5/2018 17:43",,
J08,Danny,5,"8/5/2018 15:26","8/5/2018 17:52",,
J09,Dan,24,"8/5/2018 14:08","8/5/2018 17:48",,
Judge_ID," Judge_Name",1,Timestamp,Timestamp,,
Judge_ID,Judge_Name,NumberOfCar,Start_Time,End_Time,Duration,Average_speed
J01,Wayne,31,"8/5/2018 13:47","8/5/2018 17:50",,
J02,Carl,10,"8/5/2018 13:16","8/5/2018 17:14",,
J03,Carol,19,"8/5/2018 13:26","8/5/2018 17:35",,
J04,Bob,36,"8/5/2018 13:11","8/5/2018 17:51",,
J05,Adrian,10,"8/5/2018 13:28","8/5/2018 17:31",,
J06,Aaron,32,"8/5/2018 13:20","8/5/2018 17:43",,
J08,Danny,5,"8/5/2018 15:26","8/5/2018 17:52",,
J09,Dan,24,"8/5/2018 14:08","8/5/2018 17:48",,
Judge_ID," Judge_Name",1,Timestamp,Timestamp,,
Judge_ID,Judge_Name,NumberOfCar,Start_Time,End_Time,Duration,Average_speed
J01,Wayne,31,"8/5/2018 13:47","8/5/2018 17:50",,
J02,Carl,10,"8/5/2018 13:16","8/5/2018 17:14",,
J03,Carol,19,"8/5/2018 13:26","8/5/2018 17:35",,
J04,Bob,36,"8/5/2018 13:11","8/5/2018 17:51",,
J05,Adrian,10,"8/5/2018 13:28","8/5/2018 17:31",,
J06,Aaron,32,"8/5/2018 13:20","8/5/2018 17:43",,
J08,Danny,5,"8/5/2018 15:26","8/5/2018 17:52",,
J09,Dan,24,"8/5/2018 14:08","8/5/2018 17:48",,
Judge_ID," Judge_Name",1,Timestamp,Timestamp,,
Judge_ID,Judge_Name,COUNT(Timestamp),MIN(Timestamp),MAX(Timestamp),"CAST((JULIANDAY(MAX(Timestamp)) - JULIANDAY(MIN(Timestamp)))*24 AS INT)","CAST(((JULIANDAY(MAX(Timestamp)) - JULIANDAY(MIN(Timestamp)))*24) AS INT)/COUNT(Timestamp)"
J01,Wayne,31,"8/5/2018 13:47","8/5/2018 17:50",,
J02,Carl,10,"8/5/2018 13:16","8/5/2018 17:14",,
J03,Carol,19,"8/5/2018 13:26","8/5/2018 17:35",,
J04,Bob,36,"8/5/2018 13:11","8/5/2018 17:51",,
J05,Adrian,10,"8/5/2018 13:28","8/5/2018 17:31",,
J06,Aaron,32,"8/5/2018 13:20","8/5/2018 17:43",,
J08,Danny,5,"8/5/2018 15:26","8/5/2018 17:52",,
J09,Dan,24,"8/5/2018 14:08","8/5/2018 17:48",,
Judge_ID," Judge_Name",1,Timestamp,Timestamp,,
Judge_ID,Judge_Name,NumberOfCar,Start_Time,End_Time,Duration,Average_speed
J01,Wayne,31,"8/5/2018 13:47","8/5/2018 17:50",,
J02,Carl,10,"8/5/2018 13:16","8/5/2018 17:14",,
J03,Carol,19,"8/5/2018 13:26","8/5/2018 17:35",,
J04,Bob,36,"8/5/2018 13:11","8/5/2018 17:51",,
J05,Adrian,10,"8/5/2018 13:28","8/5/2018 17:31",,
J06,Aaron,32,"8/5/2018 13:20","8/5/2018 17:43",,
